Test Case ID,Test Case Name,Tester Name,Test Date,Status,Severity,Notes
BF-01,Open Chat and Send a Message,,,,,
BF-02,Minimize and Maximize Chat,,,,,
BF-03,Close Chat and Reopen,,,,,
BF-04,Send Multiple Messages,,,,,
BF-05,Test All UI Controls,,,,,
FH-01,Upload a Single Image,,,,,
FH-02,Upload Multiple Files,,,,,
FH-03,Upload a Large File,,,,,
FH-04,Upload Different File Types,,,,,
FH-05,Upload File and Continue Conversation,,,,,
CF-01,Ask About Business Hours,,,,,
CF-02,Ask About Shipping,,,,,
CF-03,Ask About Products,,,,,
CF-04,Ask About Order Issues,,,,,
CF-05,Test Conversation with Mixed Topics,,,,,
FS-01,Upload Image and Ask About It,,,,,
FS-02,Upload Document and Ask for Summary,,,,,
FS-03,Upload Multiple Files and Ask About Them,,,,,
FS-04,Upload File and Switch Topics,,,,,
FS-05,Test Suggested Actions After File Upload,,,,,
PR-01,Long Conversation Test,,,,,
PR-02,Multiple File Uploads,,,,,
PR-03,Rapid Message Sending,,,,,
PR-04,Test on Slow Connection,,,,,
PR-05,Test After Browser Refresh,,,,,
